mean,std,min,max,median,label,record
-0.30979166666666663,0.16913102559685625,-0.535,0.94,-0.32,0,100
-0.3323888888888889,0.1535500782911226,-0.57,0.96,-0.345,0,100
-0.33295833333333336,0.14579737056575776,-0.645,0.86,-0.35,0,100
-0.3319583333333333,0.13820972765852788,-0.565,0.82,-0.3375,0,100
-0.32575000000000004,0.14692399301074763,-0.545,0.885,-0.33,0,100
-0.3028194444444445,0.1556823088490797,-0.535,0.945,-0.32,0,100
-0.33158333333333334,0.15078265723292655,-0.57,0.875,-0.365,1,100
-0.3557916666666666,0.16134202262240574,-0.575,0.885,-0.365,0,100
-0.33390277777777777,0.15001056997223583,-0.585,0.89,-0.3475,0,100
-0.30875,0.14667317693884366,-0.545,0.925,-0.3225,0,100
-0.29048611111111106,0.13750393863606997,-0.53,0.865,-0.31,0,100
-0.313,0.14060197959725412,-0.54,0.835,-0.315,0,100
-0.2932222222222222,0.15129223214088963,-0.515,0.935,-0.31,0,100
-0.2948333333333334,0.14921870600639256,-0.575,0.89,-0.31,0,100
-0.3235694444444444,0.14298881331427535,-0.565,0.795,-0.33,0,100
-0.3424027777777778,0.15021555435460646,-0.555,0.85,-0.35,0,100
-0.3204444444444444,0.14916041782897224,-0.555,0.905,-0.34,0,100
-0.2994027777777778,0.1367966515714944,-0.545,0.825,-0.31,0,100
-0.31605555555555553,0.17661908863182316,-0.57,0.97,-0.335,0,100
-0.32763888888888887,0.14836322784485115,-0.56,0.895,-0.345,0,100
-0.30202777777777773,0.1610759803652217,-0.535,0.975,-0.315,0,100
-0.31133333333333335,0.14931798656260775,-0.575,0.875,-0.33,0,100
-0.3306527777777778,0.1499932553782023,-0.585,0.88,-0.34,0,100
-0.3210138888888889,0.15204764357993147,-0.585,0.935,-0.345,0,100
-0.28700000000000003,0.18563412341963903,-0.575,1.05,-0.31,0,100
-0.3128611111111111,0.14679069618901028,-0.58,0.88,-0.325,0,100
-0.33954166666666663,0.154330987878146,-0.565,0.92,-0.35,0,100
-0.36309722222222224,0.1656546071836604,-0.645,0.955,-0.375,0,100
-0.39740277777777777,0.153457799096022,-0.665,0.845,-0.41,0,100
-0.42926388888888894,0.14723026117989046,-0.68,0.725,-0.43,0,100
-0.42327777777777775,0.15660089241818784,-0.67,0.83,-0.43,0,100
-0.3735138888888889,0.18827676090263412,-0.605,1.045,-0.405,0,100
-0.35258333333333336,0.1451655903136522,-0.605,0.855,-0.37,0,100
-0.37444444444444447,0.14394915083004609,-0.655,0.795,-0.385,0,100
-0.380875,0.15760313532379008,-0.62,0.855,-0.39,0,100
-0.36225,0.16498381654641836,-0.66,0.955,-0.375,0,100
-0.36595833333333333,0.15877696074647885,-0.63,0.855,-0.385,0,100
-0.3870416666666666,0.1447423417183483,-0.645,0.795,-0.4,0,100
-0.3658888888888889,0.15565288621690998,-0.625,0.885,-0.38,0,100
-0.3387638888888889,0.1734136426979303,-0.6,1.05,-0.355,0,100
-0.349375,0.13841849160948275,-0.615,0.85,-0.37,0,100
-0.39749999999999996,0.16370790383416975,-0.67,0.84,-0.405,0,100
-0.41100000000000003,0.15425438945672398,-0.64,0.85,-0.425,0,100
-0.38504166666666667,0.16824687858256918,-0.65,0.93,-0.4,0,100
-0.3751388888888889,0.1506388530333721,-0.695,0.825,-0.39,0,100
-0.3777222222222223,0.14409711445779103,-0.615,0.835,-0.3875,0,100
-0.34284722222222225,0.15642806828647957,-0.595,0.93,-0.355,0,100
-0.3247083333333333,0.15249084102732932,-0.585,0.925,-0.335,0,100
-0.35333333333333333,0.14126069281060932,-0.6,0.77,-0.365,0,100
-0.40027777777777784,0.1460277011603375,-0.64,0.77,-0.4,0,100
-0.36272222222222217,0.1527341755962356,-0.615,0.875,-0.395,0,100
-0.3271388888888889,0.1476275630651106,-0.595,0.85,-0.34,0,100
-0.33722222222222226,0.14288760367488362,-0.605,0.79,-0.345,0,100
-0.3514583333333333,0.1456385306065061,-0.59,0.82,-0.36,0,100
-0.3359583333333333,0.17750504198629272,-0.595,1.02,-0.355,0,100
-0.33602777777777776,0.17624257054650416,-0.595,0.99,-0.36,0,100
-0.37595833333333334,0.1441752827386781,-0.63,0.765,-0.38,0,100
-0.3492638888888889,0.1482797649579593,-0.595,0.86,-0.37,0,100
-0.3015,0.15218674566320012,-0.57,0.95,-0.315,0,100
-0.2870138888888889,0.1878904448117126,-0.535,1.02,-0.315,0,100
-0.3546944444444445,0.1445377342973193,-0.605,0.81,-0.36,0,100
-0.3632222222222222,0.1509880626464503,-0.645,0.815,-0.3775,0,100
-0.35980555555555555,0.145065467872736,-0.585,0.805,-0.37,0,100
-0.37787500000000007,0.1491168387447314,-0.65,0.77,-0.39,0,100
-0.38227777777777777,0.14758078975995773,-0.62,0.83,-0.405,0,100
-0.30491666666666667,0.16040398218248822,-0.57,0.97,-0.335,0,100
-0.2640694444444444,0.1647566662273731,-0.53,0.995,-0.28,0,100
-0.280375,0.13832956194658225,-0.535,0.83,-0.285,0,100
-0.28081944444444445,0.14443936890121145,-0.515,0.925,-0.2925,0,100
-0.2352222222222222,0.150979967602606,-0.47,1.03,-0.255,0,100
-0.2125416666666667,0.14386625130269048,-0.455,0.97,-0.225,0,100
-0.23493055555555556,0.14613704815732323,-0.475,0.89,-0.24,0,100
